# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
2.237457918905616896e-04 2.312586471404160182e+00 7.171778903514327563e-01 6.691406973926268265e-01 8.888946791912516465e-01 2.765213653457733178e-01 2.527987033159350139e-01
2.278787615346290199e-04 2.312586467087600184e+00 7.171778890127835648e-01 6.691406961436419110e-01 8.888946791248850676e-01 2.765213653251277215e-01 2.527987032970606673e-01
2.320880742371934642e-04 2.312586462610100035e+00 7.171778876242240752e-01 6.691406948480889127e-01 8.888946790560440236e-01 2.765213653037122965e-01 2.527987032774822174e-01
2.363751401858640963e-04 2.312586457965656983e+00 7.171778861838922214e-01 6.691406935042314430e-01 8.888946789846361440e-01 2.765213652814986212e-01 2.527987032571741288e-01
2.407413956168407375e-04 2.312586453148047561e+00 7.171778846898582138e-01 6.691406921102696082e-01 8.888946789105658386e-01 2.765213652584563864e-01 2.527987032361087572e-01
2.451883032960764297e-04 2.312586448150816043e+00 7.171778831401196541e-01 6.691406906643337926e-01 8.888946788337337424e-01 2.765213652345550610e-01 2.527987032142580137e-01
2.497173530093273848e-04 2.312586442967264233e+00 7.171778815326002032e-01 6.691406891644868793e-01 8.888946787540372707e-01 2.765213652097627817e-01 2.527987031915928107e-01
2.543300620612554261e-04 2.312586437590445243e+00 7.171778798651442521e-01 6.691406876087189204e-01 8.888946786713691761e-01 2.765213651840460196e-01 2.527987031680822838e-01
2.590279757837492649e-04 2.312586432013153726e+00 7.171778781355180321e-01 6.691406859949440289e-01 8.888946785856187693e-01 2.765213651573702469e-01 2.527987031436954579e-01
2.638126680536359439e-04 2.312586426227914771e+00 7.171778763414033975e-01 6.691406843210012667e-01 8.888946784966713643e-01 2.765213651297001585e-01 2.527987031183989153e-01
2.686857418199546459e-04 2.312586420226975026e+00 7.171778744803953831e-01 6.691406825846453188e-01 8.888946784044076121e-01 2.765213651009983398e-01 2.527987030921592382e-01
2.736488296409704318e-04 2.312586414002292923e+00 7.171778725500006502e-01 6.691406807835509341e-01 8.888946783087035008e-01 2.765213650712262661e-01 2.527987030649416766e-01
2.787035942311076164e-04 2.312586407545525802e+00 7.171778705476323790e-01 6.691406789153018231e-01 8.888946782094314658e-01 2.765213650403443024e-01 2.527987030367085941e-01
2.838517290179868235e-04 2.312586400848020141e+00 7.171778684706060503e-01 6.691406769773964314e-01 8.888946781064579472e-01 2.765213650083108154e-01 2.527987030074232422e-01
2.890949587097486808e-04 2.312586393900800896e+00 7.171778663161390011e-01 6.691406749672372811e-01 8.888946779996451664e-01 2.765213649750830616e-01 2.527987029770462080e-01
2.944350398728603395e-04 2.312586386694556406e+00 7.171778640813426531e-01 6.691406728821300831e-01 8.888946778888497935e-01 2.765213649406161878e-01 2.527987029455365242e-01
2.998737615205930378e-04 2.312586379219629951e+00 7.171778617632229569e-01 6.691406707192797398e-01 8.888946777739235028e-01 2.765213649048644529e-01 2.527987029128515584e-01
3.054129457123703627e-04 2.312586371466003321e+00 7.171778593586728423e-01 6.691406684757894574e-01 8.888946776547124173e-01 2.765213648677797842e-01 2.527987028789484558e-01
3.110544481641876798e-04 2.312586363423286606e+00 7.171778568644708862e-01 6.691406661486500873e-01 8.888946775310563320e-01 2.765213648293122217e-01 2.527987028437809203e-01
3.168001588703068323e-04 2.312586355080699096e+00 7.171778542772726528e-01 6.691406637347450115e-01 8.888946774027899345e-01 2.765213647894105842e-01 2.527987028073026554e-01
