# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
3.601042208914919805e-04 3.598705369457940950e+00 1.079787288395616329e+00 1.092762562323159603e+00 1.393480037523410875e+00 4.185172785550264063e-01 4.149262228353425286e-01
3.667559652709930407e-04 3.598705352065953100e+00 1.079787283137317644e+00 1.092762557036831339e+00 1.393480037256654036e+00 4.185172784736537199e-01 4.149262227560812644e-01
3.735305788109295885e-04 3.598705334025561697e+00 1.079787277682859425e+00 1.092762551553388306e+00 1.393480036979972692e+00 4.185172783892424642e-01 4.149262226738728021e-01
3.804303311160436157e-04 3.598705315312591413e+00 1.079787272024923528e+00 1.092762545865481716e+00 1.393480036692998247e+00 4.185172783016798403e-01 4.149262225886065636e-01
3.874575337145807368e-04 3.598705295901969414e+00 1.079787266155919134e+00 1.092762539965485225e+00 1.393480036395348787e+00 4.185172782108487199e-01 4.149262225001684179e-01
3.946145408326891799e-04 3.598705275767684508e+00 1.079787260067971211e+00 1.092762533845491379e+00 1.393480036086626850e+00 4.185172781166263123e-01 4.149262224084409034e-01
4.019037501831237416e-04 3.598705254882759608e+00 1.079787253752912068e+00 1.092762527497297409e+00 1.393480035766419878e+00 4.185172780188854968e-01 4.149262223133025618e-01
4.093276037685182199e-04 3.598705233219208210e+00 1.079787247202269818e+00 1.092762520912395452e+00 1.393480035434301989e+00 4.185172779174954893e-01 4.149262222146259393e-01
4.168885886994954802e-04 3.598705210748004646e+00 1.079787240407256821e+00 1.092762514081956127e+00 1.393480035089829983e+00 4.185172778123206205e-01 4.149262221122789196e-01
4.245892380278896722e-04 3.598705187439035669e+00 1.079787233358754150e+00 1.092762506996824534e+00 1.393480034732544226e+00 4.185172777032183378e-01 4.149262220061267215e-01
4.324321315953596188e-04 3.598705163261070705e+00 1.079787226047306703e+00 1.092762499647505603e+00 1.393480034361969100e+00 4.185172775900426467e-01 4.149262218960252380e-01
4.404198968976765155e-04 3.598705138181710783e+00 1.079787218463103660e+00 1.092762492024145882e+00 1.393480033977609889e+00 4.185172774726414469e-01 4.149262217818303622e-01
4.485552099649795974e-04 3.598705112167353448e+00 1.079787210595972269e+00 1.092762484116528654e+00 1.393480033578954336e+00 4.185172773508561983e-01 4.149262216633879952e-01
4.568407962582863809e-04 3.598705085183138142e+00 1.079787202435354310e+00 1.092762475914053955e+00 1.393480033165471088e+00 4.185172772245242534e-01 4.149262215405415954e-01
4.652794315825679980e-04 3.598705057192909340e+00 1.079787193970301651e+00 1.092762467405727467e+00 1.393480032736608809e+00 4.185172770934749709e-01 4.149262214131268500e-01
4.738739430166879932e-04 3.598705028159162378e+00 1.079787185189459819e+00 1.092762458580142759e+00 1.393480032291795512e+00 4.185172769575323803e-01 4.149262212809738948e-01
4.826272098605194371e-04 3.598704998042992820e+00 1.079787176081044464e+00 1.092762449425472404e+00 1.393480031830439003e+00 4.185172768165139612e-01 4.149262211439064263e-01
4.915421645995568349e-04 3.598704966804046279e+00 1.079787166632835582e+00 1.092762439929442664e+00 1.393480031351923998e+00 4.185172766702299763e-01 4.149262210017425900e-01
5.006217938873459752e-04 3.598704934400465572e+00 1.079787156832158868e+00 1.092762430079327718e+00 1.393480030855612339e+00 4.185172765184835830e-01 4.149262208542923158e-01
5.098691395460609385e-04 3.598704900788832539e+00 1.079787146665862174e+00 1.092762419861922574e+00 1.393480030340842557e+00 4.185172763610705005e-01 4.149262207013590942e-01
5.192872995855631751e-04 3.598704865924108098e+00 1.079787136120307522e+00 1.092762409263532852e+00 1.393480029806928977e+00 4.185172761977795641e-01 4.149262205427401984e-01
5.288794292412868315e-04 3.598704829759578949e+00 1.079787125181346674e+00 1.092762398269949031e+00 1.393480029253160390e+00 4.185172760283915050e-01 4.149262203782222436e-01
5.386487420312903321e-04 3.598704792246783857e+00 1.079787113834300261e+00 1.092762386866438451e+00 1.393480028678798055e+00 4.185172758526778392e-01 4.149262202075878481e-01
5.485985108328383453e-04 3.598704753335462136e+00 1.079787102063947124e+00 1.092762375037715117e+00 1.393480028083076805e+00 4.185172756704025332e-01 4.149262200306089721e-01
5.587320689788688845e-04 3.598704712973471942e+00 1.079787089854492788e+00 1.092762362767921935e+00 1.393480027465203275e+00 4.185172754813206719e-01 4.149262198470504703e-01
5.690528113747128722e-04 3.598704671106732533e+00 1.079787077189556577e+00 1.092762350040613839e+00 1.393480026824353679e+00 4.185172752851779032e-01 4.149262196566663174e-01
5.795641956354421684e-04 3.598704627679147450e+00 1.079787064052146750e+00 1.092762336838730697e+00 1.393480026159674257e+00 4.185172750817099940e-01 4.149262194592044928e-01
5.902697432442266176e-04 3.598704582632525018e+00 1.079787050424636075e+00 1.092762323144574665e+00 1.393480025470279049e+00 4.185172748706436074e-01 4.149262192544012073e-01
6.011730407320875014e-04 3.598704535906507740e+00 1.079787036288740953e+00 1.092762308939791094e+00 1.393480024755250568e+00 4.185172746516951925e-01 4.149262190419840124e-01
6.122777408794434538e-04 3.598704487438486588e+00 1.079787021625495225e+00 1.092762294205338769e+00 1.393480024013635798e+00 4.185172744245703180e-01 4.149262188216700231e-01
6.235875639398502125e-04 3.598704437163518399e+00 1.079787006415224848e+00 1.092762278921467711e+00 1.393480023244446420e+00 4.185172741889628956e-01 4.149262185931650304e-01
6.351062988863465271e-04 3.598704385014238838e+00 1.079786990637522592e+00 1.092762263067692530e+00 1.393480022446658584e+00 4.185172739445568446e-01 4.149262183561652773e-01
6.468378046808202818e-04 3.598704330920774019e+00 1.079786974271220057e+00 1.092762246622758227e+00 1.393480021619208697e+00 4.185172736910223179e-01 4.149262181103561264e-01
6.587860115668232007e-04 3.598704274810640591e+00 1.079786957294354810e+00 1.092762229564626431e+00 1.393480020760995641e+00 4.185172734280194762e-01 4.149262178554078417e-01
6.709549223862660812e-04 3.598704216608659134e+00 1.079786939684153069e+00 1.092762211870427880e+00 1.393480019870875886e+00 4.185172731551940473e-01 4.149262175909826933e-01
6.833486139204350681e-04 3.598704156236843588e+00 1.079786921416985734e+00 1.092762193516446878e+00 1.393480018947663712e+00 4.185172728721789914e-01 4.149262173167282963e-01
6.959712382557785857e-04 3.598704093614301769e+00 1.079786902468342191e+00 1.092762174478079551e+00 1.393480017990130104e+00 4.185172725785937242e-01 4.149262170322793875e-01
7.088270241749256061e-04 3.598704028657126130e+00 1.079786882812800553e+00 1.092762154729806312e+00 1.393480016996999638e+00 4.185172722740430062e-01 4.149262167372569365e-01
7.219202785733924623e-04 3.598703961278277852e+00 1.079786862423985916e+00 1.092762134245156780e+00 1.393480015966950036e+00 4.185172719581176093e-01 4.149262164312683687e-01
7.352553879024645777e-04 3.598703891387480702e+00 1.079786841274545495e+00 1.092762112996672919e+00 1.393480014898609731e+00 4.185172716303924290e-01 4.149262161139066762e-01
7.488368196387278856e-04 3.598703818891084261e+00 1.079786819336099768e+00 1.092762090955871734e+00 1.393480013790556526e+00 4.185172712904267067e-01 4.149262157847481980e-01
7.626691237807453096e-04 3.598703743691953338e+00 1.079786796579214059e+00 1.092762068093208416e+00 1.393480012641314270e+00 4.185172709377620315e-01 4.149262154433566163e-01
7.767569343733797494e-04 3.598703665689328979e+00 1.079786772973355902e+00 1.092762044378036812e+00 1.393480011449354183e+00 4.185172705719252262e-01 4.149262150892749634e-01
7.911049710602740138e-04 3.598703584778695674e+00 1.079786748486851522e+00 1.092762019778569016e+00 1.393480010213088649e+00 4.185172701924235739e-01 4.149262147220338370e-01
8.057180406650070329e-04 3.598703500851644144e+00 1.079786723086847644e+00 1.092761994261829628e+00 1.393480008930871872e+00 4.185172697987461499e-01 4.149262143411445170e-01
8.206010388014567435e-04 3.598703413795718564e+00 1.079786696739261753e+00 1.092761967793615785e+00 1.393480007600998327e+00 4.185172693903642660e-01 4.149262139460980769e-01
8.357589515139130475e-04 3.598703323494277129e+00 1.079786669408744348e+00 1.092761940338448312e+00 1.393480006221696321e+00 4.185172689667273627e-01 4.149262135363707138e-01
8.511968569474777412e-04 3.598703229826324623e+00 1.079786641058624319e+00 1.092761911859523316e+00 1.393480004791131099e+00 4.185172685272660065e-01 4.149262131114157537e-01
8.669199270493287536e-04 3.598703132666359217e+00 1.079786611650864092e+00 1.092761882318668221e+00 1.393480003307398185e+00 4.185172680713882265e-01 4.149262126706685372e-01
8.829334293014043464e-04 3.598703031884197490e+00 1.079786581146005009e+00 1.092761851676284923e+00 1.393480001768523380e+00 4.185172675984809576e-01 4.149262122135422004e-01
8.992427284850950222e-04 3.598702927344803904e+00 1.079786549503117588e+00 1.092761819891295616e+00 1.393480000172459210e+00 4.185172671079084861e-01 4.149262117394281191e-01
9.158532884785317539e-04 3.598702818908107837e+00 1.079786516679743347e+00 1.092761786921101042e+00 1.393479998517080931e+00 4.185172665990095631e-01 4.149262112476954645e-01
9.327706740870728109e-04 3.598702706428821507e+00 1.079786482631845512e+00 1.092761752721498780e+00 1.393479996800186749e+00 4.185172660710996251e-01 4.149262107376905373e-01
9.500005529076038140e-04 3.598702589756234360e+00 1.079786447313736630e+00 1.092761717246648168e+00 1.393479995019491824e+00 4.185172655234683514e-01 4.149262102087341031e-01
